,monkey,rt,coh,correct,trgchoice
177,2,0.3733619,0.5,0,1
178,2,1.357627,0.7,1,1
179,2,0.4817856,0.2,0,2
180,2,0.5657114,0.5,0,1
181,2,1.0212676,0.5,0,2
182,2,0.4574324,0.2,0,2
183,2,0.4495363,0.8,1,1
184,2,0.5059656,0.6,1,1
185,2,0.6030918,0.2,0,2
186,2,1.1321322,0.4,0,1
187,2,0.4710064,0.3,0,2
188,2,0.3491516,0.7,1,1
189,2,0.5211736,0.4,0,2
190,2,0.5538608,0.6,1,1
191,2,0.8801301,0.5,0,1
192,2,0.4675922,0.8,1,1
193,2,3.4161012,0.7,1,1
194,2,1.3956945,0.8,1,1
195,2,0.641544,0.2,0,2
196,2,0.3650738,0.7,1,1
197,2,0.5114767,0.3,0,2
198,2,1.9515477,0.3,0,1
199,2,0.6370125,0.7,1,1
200,2,0.3816979,0.3,0,2
201,2,1.1713252,0.8,1,1
202,2,0.5445271,0.4,0,1
203,2,0.599141,0.3,0,2
204,2,0.4307976,0.5,0,1
205,2,0.46512,0.6,1,1
206,2,0.9629706,0.8,1,1
207,2,0.3430114,0.7,1,1
208,2,0.3251438,0.5,0,1
209,2,0.568903,0.8,1,1
210,2,1.0132766,0.5,1,1
211,2,0.4989616,0.2,0,2
212,2,0.449239,0.2,0,2
213,2,0.4292132,0.7,1,1
214,2,0.6009519,0.8,1,1
215,2,0.4348438,0.4,0,1
216,2,0.8611955,0.3,0,2
217,2,0.7833013,0.7,1,1
218,2,0.6316289,0.3,0,2
219,2,0.5854368,0.8,1,1
220,2,0.6990929,0.2,0,2
221,2,0.4807909,0.2,0,2
222,2,0.5416657,0.3,0,2
223,2,1.7653717,0.3,0,2
224,2,0.4256127,0.6,1,1
225,2,0.6090161,0.2,0,2
226,2,0.6834703,0.4,0,2
227,2,0.2617868,0.7,1,1
228,2,0.5194699,0.3,0,2
229,2,0.4034117,0.6,1,1
230,2,0.2885305,0.8,1,1
231,2,0.4819982,0.4,0,2
232,2,0.2874434,0.7,1,1
233,2,1.0018476,0.6,1,1
234,2,0.5132512,0.6,1,1
235,2,0.7832077,0.3,0,2
236,2,0.9588053,0.5,1,2
237,2,0.8296968,0.3,0,1
238,2,0.4052116,0.7,1,1
239,2,0.2474149,0.7,1,1
240,2,0.6409695,0.2,0,2
241,2,0.5935345,0.4,0,1
242,2,0.2810896,0.8,1,1
243,2,0.2530765,0.7,1,1
244,2,0.7030851,0.3,0,2
245,2,0.7733288,0.5,1,2
246,2,0.4433297,0.2,0,2
247,2,0.5995004,0.5,0,1
248,2,0.4875669,0.3,0,2
249,2,0.553395,0.2,0,2
250,2,0.4974276,0.2,0,2
251,2,0.6257127,0.8,1,1
252,2,0.8493851,0.6,1,1
253,2,0.4514473,0.2,0,2
254,2,0.7880036,0.2,0,2
255,2,0.932964,0.7,1,1
256,2,0.4857382,0.7,1,1
257,2,0.4373253,0.3,0,2
258,2,0.3177692,0.7,1,1
259,2,0.4511619,0.6,1,1
260,2,0.3696192,0.6,1,1
261,2,0.3279261,0.7,1,1
262,2,0.3655655,0.3,0,2
263,2,0.5129095,0.2,0,2
264,2,0.4594199,0.6,1,1
265,2,0.5196121,0.3,0,2
266,2,0.2813337,0.8,1,1
267,2,0.6176798,0.2,0,2
268,2,0.493765,0.3,0,2
269,2,0.6729465,0.6,1,1
270,2,0.7735208,0.5,0,1
271,2,0.7762936,0.4,0,1
272,2,0.2659645,0.6,1,1
273,2,1.1257901,0.3,0,1
274,2,0.441445,0.2,0,2
275,2,0.5270069,0.7,1,1
276,2,0.3394394,0.8,1,1
277,2,0.2151414,0.7,1,1
278,2,0.4776186,0.5,0,1
279,2,0.697595,0.6,1,1
280,2,0.4989434,0.4,0,2
281,2,1.0138333,0.5,1,2
282,2,0.3855875,0.6,1,1
283,2,0.9142143,0.2,0,2
284,2,0.7619923,0.4,0,1
285,2,0.4716604,0.3,0,2
286,2,0.571438,0.6,1,1
287,2,0.6294929,0.3,0,1
288,2,0.6616126,0.5,1,1
289,2,0.0036411,0.8,1,1
290,2,0.611853,0.4,0,1
291,2,0.9457747,0.4,0,2
292,2,1.4592314,0.2,0,2
293,2,1.5054426,0.2,0,2
294,2,0.4742063,0.8,1,1
295,2,1.3452685,0.8,1,1
296,2,0.4812535,0.2,0,2
297,2,0.4636202,0.3,0,2
298,2,0.3900537,0.5,1,1
299,2,0.4077129,0.7,1,1
300,2,0.8776608,0.5,0,1
301,2,0.3615208,0.8,1,1
302,2,0.3432016,0.7,1,1
303,2,0.3743132,0.5,0,1
304,2,0.2997341,0.6,1,1
305,2,0.6015121,0.6,1,1
306,2,0.6852846,0.3,0,2
307,2,1.0835764,0.2,0,2
308,2,0.3913284,0.5,1,1
