,monkey,rt,coh,correct,trgchoice
0,1,1.2698887,0.5,1,0
1,1,1.8290266,0.5,0,0
2,1,0.8481009,0.4,0,1
3,1,1.3129203,0.8,1,0
4,1,1.9902624,0.7,1,1
5,1,1.8307565,0.7,1,0
6,1,1.5894044,0.5,0,1
7,1,0.7807324,0.3,0,1
8,1,1.8101258,0.8,1,0
9,1,1.9728049,0.7,1,0
10,1,0.6505533,0.2,0,1
11,1,1.6014128,0.8,1,0
12,1,0.6249902,0.4,0,1
13,1,2.3450585,0.6,1,0
14,1,0.9304428,0.4,0,1
15,1,1.0254712,0.4,0,1
16,1,0.6208663,0.3,0,1
17,1,1.0756485,0.6,1,1
18,1,1.21916,0.8,1,0
19,1,0.5211864,0.2,0,1
20,1,1.8238823,0.6,1,0
21,1,2.0549029,0.5,1,0
22,1,0.8195314,0.8,1,0
23,1,1.4366267,0.7,1,0
24,1,0.8971521,0.2,0,1
25,1,0.7873435,0.4,0,1
26,1,1.0894594,0.6,1,1
27,1,1.0609362,0.7,1,1
28,1,2.4033752,0.8,1,0
29,1,1.5855712,0.8,1,0
30,1,0.7296748,0.2,0,1
31,1,0.6115939,0.2,0,1
32,1,0.8030986,0.4,0,1
33,1,0.8495082,0.4,0,1
34,1,0.7213064,0.2,0,1
35,1,0.6316472,0.3,0,1
36,1,0.6655711,0.4,0,1
37,1,1.8733685,0.4,0,1
38,1,0.5564506,0.3,0,1
39,1,0.4691596,0.3,0,1
40,1,0.4476524,0.3,0,1
41,1,0.5296423,0.6,1,0
42,1,0.7736792,0.7,1,0
43,1,0.8293718,0.7,1,0
44,1,0.5716333,0.8,1,0
45,1,0.8857734,0.7,1,0
46,1,0.8147896,0.7,1,0
47,1,0.6095368,0.2,0,1
48,1,0.5876327,0.4,0,1
49,1,0.7015195,0.3,0,1
50,1,0.4777281,0.3,0,1
51,1,0.9394552,0.5,1,1
52,1,2.6578583,0.6,1,0
53,1,1.4936408,0.5,0,0
54,1,1.3496046,0.5,0,0
55,1,0.5295673,0.2,0,1
56,1,0.5056356,0.2,0,1
57,1,1.1614624,0.8,1,0
58,1,0.7057738,0.2,0,1
59,1,0.585079,0.2,0,1
60,1,0.7977138,0.5,1,1
61,1,1.0977093,0.6,1,1
62,1,2.949417,0.5,0,0
63,1,0.9776428,0.8,1,0
64,1,1.2136342,0.3,0,1
65,1,0.6593983,0.2,0,1
66,1,0.6474249,0.3,0,1
